model,case_id,setting,validator_pass,expert_1_status,expert_1_D1_requirement_fidelity,expert_1_D2_architectural_grounding,expert_1_D3_formalization_adequacy,expert_1_D4_unsupported_content_control,expert_1_D5_reviewability,expert_1_score,expert_1_brief_reason,expert_1_error,expert_2_status,expert_2_D1_requirement_fidelity,expert_2_D2_architectural_grounding,expert_2_D3_formalization_adequacy,expert_2_D4_unsupported_content_control,expert_2_D5_reviewability,expert_2_score,expert_2_brief_reason,expert_2_error,avg_D1_requirement_fidelity,avg_D2_architectural_grounding,avg_D3_formalization_adequacy,avg_D4_unsupported_content_control,avg_D5_reviewability,combined_score,review_usable,strict_review_usable,end_to_end_usable,expert_disagreement
Codestral-2508,Case001,system_1,false,ok,2,4,2,2,4,2.7000,"The artifact uses the correct TCAS ports and captures the intended output cases, but it incorrectly encodes those cases as mutually inconsistent assumptions, which substantially undermines the requirement’s semantics.",,ok,4,5,4,4,5,4.3500,"The artifact mostly captures the requirement with minor issues in conditional logic structure and missing explicit handling of the boolean variable, but is well-grounded and reviewable.",,3.0000,4.5000,3.0000,3.0000,4.5000,3.5250,false,false,false,true
Codestral-2508,Case002,system_1,true,ok,5,5,5,5,5,5.0000,The artifact cleanly encodes all three altitude comparison cases and the required tie-break boolean using only valid TCAS_singleton ports and a straightforward internal AGREE equation.,,ok,5,5,5,5,5,5.0000,"The artifact fully and accurately captures the requirement, is well-grounded in the AADL context, uses appropriate formalization, contains no unsupported content, and is highly reviewable.",,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,true,true,true,false
Codestral-2508,Case003,system_1,true,ok,2,5,2,5,5,3.3500,"The artifact is well placed in GeoFence_singleton and correctly constrains timeToFailure to 9.5, but it omits the recursive time variable t, the distanceFromFence computation via geofence_nodes::circleLinearization, and the post-1.7 monotonicity guarantee.",,ok,3,5,3,4,5,3.8000,"The artifact partially captures the requirement by setting the failure time but omits the recursive variable t, distanceFromFence declaration, and the circleLinearization function invocation, while correctly grounding all architectural elements and being easy to review.",,2.5000,5.0000,2.5000,4.5000,5.0000,3.5750,false,false,false,false
Codestral-2508,Case004,system_1,true,ok,2,4,1,4,5,2.8000,"The artifact is placed in the correct component and clearly adds the stated numeric constants, but it omits the required recursive variable, function call, monotonicity guarantee after recovery time, and any binding of failure time to the component output.",,ok,3,5,2,4,4,3.5000,"The artifact partially captures the requirement by defining constants but fails to implement the recursive variable 't', the 'distanceFromFence' calculation, and the time-based constraint on distance growth, while being well-grounded architecturally and mostly reviewable.",,2.5000,4.5000,1.5000,4.0000,4.5000,3.1500,false,false,false,false
Codestral-2508,Case005,system_1,true,ok,2,5,2,2,5,3.0500,"The artifact correctly sets the two time outputs and is well grounded in the model, but it omits the required computed height variable/function call and misstates the post-recovery pull-up guarantee by using altitude with no simulation-time trigger.",,ok,3,5,2,3,5,3.5000,"The artifact partially captures the requirement but incorrectly applies the altitude constraint and fails to model the height variable or kinematicLinearization function, while being well-grounded in the architecture and readable.",,2.5000,5.0000,2.0000,2.5000,5.0000,3.2750,false,false,false,false
Codestral-2508,Case006,system_1,true,ok,3,4,2,2,5,3.1500,"The artifact correctly constrains `timeToFailure` and the recovery-sum bound using grounded Supervisor ports, but it does not invoke `composite_nodes::concurrencyFactor` and instead invents unsupported boolean comparisons for `p1`/`p2`/`p3`.",,ok,4,5,4,5,5,4.4500,"The artifact mostly captures the requirement with minor omissions in the concurrency factor calculation and a simplified concurrency condition, but is well-grounded, formally adequate, and highly reviewable.",,3.5000,4.5000,3.0000,3.5000,5.0000,3.8000,false,false,false,true
Codestral-2508,Case007,system_1,true,ok,3,5,3,2,5,3.6000,"The artifact is well grounded and readable and correctly defines the minimum timeToFailure and sum constraint, but it replaces the required composite_nodes::concurrencyFactor computations for p1–p3 with unsupported simple comparisons.",,ok,4,5,5,5,5,4.6500,"The artifact mostly captures the requirement accurately, with correct architectural grounding and formalization, though it omits the explicit invocation of the concurrencyFactor function as specified in the requirement.",,3.5000,5.0000,4.0000,3.5000,5.0000,4.1250,true,true,true,true
Codestral-2508,Case008,system_1,false,ok,4,5,2,4,5,3.9500,"The artifact correctly attaches assumptions to `TCAS_singleton` and covers the stated bounds, but the constancy of integer input `nearestIntruderAltitude` is formalized with `nearestIntruderAltitude' == 0`, which is not an appropriate or reliable encoding of a constant discrete port value.",,ok,4,5,5,5,5,4.6500,"The artifact mostly captures the requirement with accurate formalization of constraints and proper architectural grounding, though the assumption about nearestIntruderAltitude being constant is incorrectly stated as a change from the requirement, which should be a temporal invariant rather than an equality.",,4.0000,5.0000,3.5000,4.5000,5.0000,4.3000,true,true,false,false
Codestral-2508,Case009,system_1,true,ok,3,5,3,5,5,3.9000,"The artifact is well-scoped to TCAS_singleton and cleanly formalizes the positivity and coordinate-range assumptions, but it misses the requirement that nearestIntruderAltitude remain constant throughout the simulation.",,ok,5,5,5,5,5,5.0000,"The generated AADL+AGREE artifact fully and accurately reflects the requirement's constraints on variable positivity and geographical ranges, is well-grounded in the AADL context, uses appropriate formalization, contains no unsupported content, and is highly reviewable.",,4.0000,5.0000,4.0000,5.0000,5.0000,4.4500,true,true,true,true
Codestral-2508,Case010,system_1,true,ok,3,3,3,3,4,3.1000,"The artifact captures the key constants and trigger condition, but it places implementation-specific logic on GCAS_Monitor instead of GCAS_Monitor_impl and adds an unsupported extra argument to Agree_Nodes::height.",,ok,5,5,5,5,5,5.0000,"The artifact fully satisfies the requirement with correct formalization, proper architectural grounding, and clear, reviewable structure.",,4.0000,4.0000,4.0000,4.0000,4.5000,4.0500,true,true,true,true
Codestral-2508,Case011,system_1,true,ok,3,4,3,3,4,3.3500,"It captures the constants and the low-altitude guarantee on GCAS_Monitor using the right ports, but it places the logic on the component instead of the implementation and adds an unsupported extra argument to Agree_Nodes::height.",,ok,5,5,5,5,5,5.0000,"The artifact fully satisfies the requirement with correct constants, accurate function invocation, and proper logical conditions, all grounded in the AADL context and clearly expressed.",,4.0000,4.5000,4.0000,4.0000,4.5000,4.1750,true,true,true,true
