Exact expression symbols: MCU1_Data_Input, MCU1_Data_Input.channels, MCU1_Data_Input.ppm_cpt, MCU1_Data_Input.satus, MCU1_Data_Input.nb_err, MCU1_Data_Input.vsupply, GPS_Input, GPS_Evt_Input, IR_Input, P_Input, T_Input, Compas_Input, V_Air_Input, Trans_MCU0_Output, Trans_MCU0_Output.channels, Trans_MCU0_Output.ppm_cpt, Trans_MCU0_Output.satus, Trans_MCU0_Output.nb_err, Trans_MCU0_Output.vsupply, Trans_Sol_Output, Trans_Sol_Output.channels, Trans_Sol_Output.ppm_cpt, Trans_Sol_Output.satus, Trans_Sol_Output.nb_err, Trans_Sol_Output.vsupply
Use only these exact names as expression operands; do not prefix them with component, implementation, package, property, or metadata names.

name | direction | kind | scalar | aadl_type
MCU1_Data_Input | in | data | opaque | Papa_Types::Inter_mcu_msg.Generic
MCU1_Data_Input.channels | in | data_field | opaque | Tableau.Generic
MCU1_Data_Input.ppm_cpt | in | data_field | opaque | Base_Types::Integer_8
MCU1_Data_Input.satus | in | data_field | opaque | Base_Types::Integer_8
MCU1_Data_Input.nb_err | in | data_field | opaque | Base_Types::Integer_8
MCU1_Data_Input.vsupply | in | data_field | opaque | Base_Types::Integer_8
GPS_Input | in | data | opaque | Papa_Types::Stream_Element.Generic
GPS_Evt_Input | in | event | event | 
IR_Input | in | data | opaque | Papa_Types::Stream_Element.Generic
P_Input | in | data | opaque | Base_Types::Float_32
T_Input | in | data | opaque | Base_Types::Integer_8
Compas_Input | in | data | opaque | Base_Types::Float_32
V_Air_Input | in | data | opaque | Base_Types::Integer_8
Trans_MCU0_Output | out | data | opaque | Papa_Types::Inter_mcu_msg.Generic
Trans_MCU0_Output.channels | out | data_field | opaque | Tableau.Generic
Trans_MCU0_Output.ppm_cpt | out | data_field | opaque | Base_Types::Integer_8
Trans_MCU0_Output.satus | out | data_field | opaque | Base_Types::Integer_8
Trans_MCU0_Output.nb_err | out | data_field | opaque | Base_Types::Integer_8
Trans_MCU0_Output.vsupply | out | data_field | opaque | Base_Types::Integer_8
Trans_Sol_Output | out | data | opaque | Papa_Types::Inter_mcu_msg.Generic
Trans_Sol_Output.channels | out | data_field | opaque | Tableau.Generic
Trans_Sol_Output.ppm_cpt | out | data_field | opaque | Base_Types::Integer_8
Trans_Sol_Output.satus | out | data_field | opaque | Base_Types::Integer_8
Trans_Sol_Output.nb_err | out | data_field | opaque | Base_Types::Integer_8
Trans_Sol_Output.vsupply | out | data_field | opaque | Base_Types::Integer_8
